Epoch: [1][1/1019]	Time 3.655 (3.655)	Data 3.316 (3.316)	Loss 2.8018 (2.8018)	MAE 1.600 (1.600)
Epoch: [1][2/1019]	Time 0.327 (1.991)	Data 0.001 (1.658)	Loss 28.0626 (15.4322)	MAE 5.697 (3.648)
Epoch: [1][3/1019]	Time 0.195 (1.392)	Data 0.000 (1.106)	Loss 39.0954 (23.3199)	MAE 6.824 (4.707)
Epoch: [1][4/1019]	Time 0.158 (1.084)	Data 0.000 (0.829)	Loss 1.1403 (17.7750)	MAE 0.940 (3.765)
Epoch: [1][5/1019]	Time 0.593 (0.986)	Data 0.376 (0.739)	Loss 1.2586 (14.4717)	MAE 1.039 (3.220)
Epoch: [1][6/1019]	Time 0.178 (0.851)	Data 0.001 (0.616)	Loss 0.9541 (12.2188)	MAE 0.877 (2.829)
Epoch: [1][7/1019]	Time 0.158 (0.752)	Data 0.000 (0.528)	Loss 1.1353 (10.6354)	MAE 0.987 (2.566)
Epoch: [1][8/1019]	Time 0.135 (0.675)	Data 0.008 (0.463)	Loss 1.0804 (9.4411)	MAE 0.869 (2.354)
Epoch: [1][9/1019]	Time 0.839 (0.693)	Data 0.616 (0.480)	Loss 1.2084 (8.5263)	MAE 1.000 (2.204)
Epoch: [1][10/1019]	Time 0.177 (0.642)	Data 0.000 (0.432)	Loss 0.9091 (7.7646)	MAE 0.856 (2.069)
Epoch: [1][11/1019]	Time 0.177 (0.599)	Data 0.000 (0.393)	Loss 1.6411 (7.2079)	MAE 1.186 (1.989)
Epoch: [1][12/1019]	Time 0.227 (0.568)	Data 0.009 (0.361)	Loss 1.4268 (6.7262)	MAE 1.039 (1.909)
Epoch: [1][13/1019]	Time 0.343 (0.551)	Data 0.163 (0.345)	Loss 0.9278 (6.2801)	MAE 0.830 (1.826)
Epoch: [1][14/1019]	Time 0.177 (0.524)	Data 0.025 (0.323)	Loss 1.5240 (5.9404)	MAE 1.074 (1.773)
Epoch: [1][15/1019]	Time 0.168 (0.500)	Data 0.000 (0.301)	Loss 1.0434 (5.6139)	MAE 0.918 (1.716)
Epoch: [1][16/1019]	Time 0.128 (0.477)	Data 0.000 (0.282)	Loss 1.3665 (5.3485)	MAE 1.121 (1.678)
Epoch: [1][17/1019]	Time 0.721 (0.492)	Data 0.502 (0.295)	Loss 1.3726 (5.1146)	MAE 1.109 (1.645)
Epoch: [1][18/1019]	Time 0.218 (0.476)	Data 0.000 (0.279)	Loss 1.0965 (4.8914)	MAE 0.934 (1.605)
Epoch: [1][19/1019]	Time 0.184 (0.461)	Data 0.000 (0.264)	Loss 1.2364 (4.6990)	MAE 1.081 (1.578)
Epoch: [1][20/1019]	Time 0.187 (0.447)	Data 0.000 (0.251)	Loss 0.7441 (4.5013)	MAE 0.733 (1.536)
Epoch: [1][21/1019]	Time 0.301 (0.440)	Data 0.149 (0.246)	Loss 1.1017 (4.3394)	MAE 1.032 (1.512)
Epoch: [1][22/1019]	Time 0.159 (0.428)	Data 0.000 (0.235)	Loss 1.1567 (4.1947)	MAE 1.019 (1.489)
Epoch: [1][23/1019]	Time 0.179 (0.417)	Data 0.008 (0.225)	Loss 1.1901 (4.0641)	MAE 1.019 (1.469)
Epoch: [1][24/1019]	Time 0.167 (0.406)	Data 0.000 (0.216)	Loss 0.5740 (3.9187)	MAE 0.718 (1.438)
Epoch: [1][25/1019]	Time 0.565 (0.413)	Data 0.344 (0.221)	Loss 0.6038 (3.7861)	MAE 0.695 (1.408)
Epoch: [1][26/1019]	Time 0.194 (0.404)	Data 0.000 (0.212)	Loss 0.8458 (3.6730)	MAE 0.894 (1.388)
Epoch: [1][27/1019]	Time 0.237 (0.398)	Data 0.010 (0.205)	Loss 1.2664 (3.5838)	MAE 1.138 (1.379)
Epoch: [1][28/1019]	Time 0.188 (0.391)	Data 0.000 (0.198)	Loss 1.0800 (3.4944)	MAE 0.929 (1.363)
Epoch: [1][29/1019]	Time 0.361 (0.390)	Data 0.166 (0.196)	Loss 1.1630 (3.4140)	MAE 1.007 (1.350)
Epoch: [1][30/1019]	Time 0.174 (0.382)	Data 0.000 (0.190)	Loss 0.8112 (3.3273)	MAE 0.880 (1.335)
Epoch: [1][31/1019]	Time 0.220 (0.377)	Data 0.009 (0.184)	Loss 0.8646 (3.2478)	MAE 0.923 (1.322)
Epoch: [1][32/1019]	Time 0.167 (0.371)	Data 0.001 (0.178)	Loss 1.0516 (3.1792)	MAE 0.895 (1.308)
Epoch: [1][33/1019]	Time 0.395 (0.371)	Data 0.203 (0.179)	Loss 0.8537 (3.1087)	MAE 0.794 (1.293)
Epoch: [1][34/1019]	Time 0.203 (0.366)	Data 0.001 (0.174)	Loss 1.2081 (3.0528)	MAE 1.084 (1.286)
Epoch: [1][35/1019]	Time 0.176 (0.361)	Data 0.009 (0.169)	Loss 0.6448 (2.9840)	MAE 0.767 (1.272)
Epoch: [1][36/1019]	Time 0.176 (0.356)	Data 0.000 (0.164)	Loss 0.4477 (2.9136)	MAE 0.667 (1.255)
Epoch: [1][37/1019]	Time 0.291 (0.354)	Data 0.129 (0.163)	Loss 1.0185 (2.8623)	MAE 0.874 (1.245)
Epoch: [1][38/1019]	Time 0.138 (0.348)	Data 0.000 (0.159)	Loss 0.7910 (2.8078)	MAE 0.753 (1.232)
Epoch: [1][39/1019]	Time 0.154 (0.343)	Data 0.009 (0.155)	Loss 0.9530 (2.7603)	MAE 0.933 (1.224)
Epoch: [1][40/1019]	Time 0.141 (0.338)	Data 0.000 (0.151)	Loss 1.0825 (2.7183)	MAE 0.946 (1.217)
Epoch: [1][41/1019]	Time 0.406 (0.340)	Data 0.223 (0.153)	Loss 1.2445 (2.6824)	MAE 1.059 (1.213)
Epoch: [1][42/1019]	Time 0.232 (0.337)	Data 0.008 (0.150)	Loss 0.6424 (2.6338)	MAE 0.635 (1.199)
Epoch: [1][43/1019]	Time 0.200 (0.334)	Data 0.008 (0.146)	Loss 1.2960 (2.6027)	MAE 0.986 (1.194)
Epoch: [1][44/1019]	Time 0.170 (0.330)	Data 0.000 (0.143)	Loss 0.8119 (2.5620)	MAE 0.797 (1.185)
Epoch: [1][45/1019]	Time 0.169 (0.327)	Data 0.019 (0.140)	Loss 0.9429 (2.5260)	MAE 0.917 (1.179)
Epoch: [1][46/1019]	Time 0.189 (0.324)	Data 0.010 (0.138)	Loss 0.9072 (2.4908)	MAE 0.933 (1.174)
Epoch: [1][47/1019]	Time 0.184 (0.321)	Data 0.009 (0.135)	Loss 1.4019 (2.4677)	MAE 1.119 (1.173)
Epoch: [1][48/1019]	Time 0.212 (0.319)	Data 0.000 (0.132)	Loss 0.5220 (2.4271)	MAE 0.610 (1.161)
Epoch: [1][49/1019]	Time 0.167 (0.316)	Data 0.018 (0.130)	Loss 1.1678 (2.4014)	MAE 1.001 (1.158)
Epoch: [1][50/1019]	Time 0.228 (0.314)	Data 0.060 (0.128)	Loss 0.6879 (2.3672)	MAE 0.634 (1.147)
Epoch: [1][51/1019]	Time 0.114 (0.310)	Data 0.000 (0.126)	Loss 0.7400 (2.3352)	MAE 0.671 (1.138)
Epoch: [1][52/1019]	Time 0.154 (0.307)	Data 0.000 (0.123)	Loss 0.8210 (2.3061)	MAE 0.833 (1.132)
Epoch: [1][53/1019]	Time 0.177 (0.304)	Data 0.030 (0.122)	Loss 1.0769 (2.2829)	MAE 0.988 (1.129)
Epoch: [1][54/1019]	Time 0.331 (0.305)	Data 0.162 (0.122)	Loss 1.4406 (2.2673)	MAE 1.164 (1.130)
Epoch: [1][55/1019]	Time 0.171 (0.302)	Data 0.001 (0.120)	Loss 0.9150 (2.2428)	MAE 0.845 (1.125)
Epoch: [1][56/1019]	Time 0.183 (0.300)	Data 0.000 (0.118)	Loss 0.7530 (2.2161)	MAE 0.861 (1.120)
Epoch: [1][57/1019]	Time 0.182 (0.298)	Data 0.009 (0.116)	Loss 0.9953 (2.1947)	MAE 0.936 (1.117)
Epoch: [1][58/1019]	Time 0.295 (0.298)	Data 0.114 (0.116)	Loss 0.3866 (2.1636)	MAE 0.542 (1.107)
Epoch: [1][59/1019]	Time 0.164 (0.296)	Data 0.001 (0.114)	Loss 1.0674 (2.1450)	MAE 1.008 (1.105)
Epoch: [1][60/1019]	Time 0.192 (0.294)	Data 0.000 (0.112)	Loss 0.7523 (2.1218)	MAE 0.733 (1.099)
Epoch: [1][61/1019]	Time 0.226 (0.293)	Data 0.018 (0.111)	Loss 0.7730 (2.0997)	MAE 0.696 (1.093)
Epoch: [1][62/1019]	Time 0.185 (0.291)	Data 0.018 (0.109)	Loss 0.6839 (2.0768)	MAE 0.820 (1.088)
Epoch: [1][63/1019]	Time 0.166 (0.289)	Data 0.000 (0.107)	Loss 0.7486 (2.0557)	MAE 0.797 (1.084)
Epoch: [1][64/1019]	Time 0.129 (0.287)	Data 0.000 (0.106)	Loss 0.9232 (2.0380)	MAE 0.794 (1.079)
Epoch: [1][65/1019]	Time 0.364 (0.288)	Data 0.189 (0.107)	Loss 1.1340 (2.0241)	MAE 0.900 (1.076)
Epoch: [1][66/1019]	Time 0.221 (0.287)	Data 0.048 (0.106)	Loss 0.7027 (2.0041)	MAE 0.734 (1.071)
Epoch: [1][67/1019]	Time 0.178 (0.285)	Data 0.000 (0.105)	Loss 0.5222 (1.9820)	MAE 0.708 (1.066)
Epoch: [1][68/1019]	Time 0.185 (0.284)	Data 0.000 (0.103)	Loss 1.0913 (1.9689)	MAE 0.945 (1.064)
Epoch: [1][69/1019]	Time 0.175 (0.282)	Data 0.009 (0.102)	Loss 1.1769 (1.9574)	MAE 1.037 (1.064)
Epoch: [1][70/1019]	Time 0.444 (0.285)	Data 0.244 (0.104)	Loss 0.6468 (1.9387)	MAE 0.744 (1.059)
Epoch: [1][71/1019]	Time 0.169 (0.283)	Data 0.000 (0.102)	Loss 0.8810 (1.9238)	MAE 0.938 (1.057)
Epoch: [1][72/1019]	Time 0.123 (0.281)	Data 0.000 (0.101)	Loss 0.6692 (1.9064)	MAE 0.792 (1.054)
Epoch: [1][73/1019]	Time 0.184 (0.279)	Data 0.016 (0.100)	Loss 1.1709 (1.8963)	MAE 1.075 (1.054)
Epoch: [1][74/1019]	Time 0.243 (0.279)	Data 0.084 (0.099)	Loss 0.5538 (1.8782)	MAE 0.695 (1.049)
Epoch: [1][75/1019]	Time 0.185 (0.278)	Data 0.000 (0.098)	Loss 0.8852 (1.8649)	MAE 0.865 (1.047)
Epoch: [1][76/1019]	Time 0.170 (0.276)	Data 0.000 (0.097)	Loss 0.6096 (1.8484)	MAE 0.731 (1.042)
Epoch: [1][77/1019]	Time 0.316 (0.277)	Data 0.126 (0.097)	Loss 0.6785 (1.8332)	MAE 0.725 (1.038)
Epoch: [1][78/1019]	Time 0.516 (0.280)	Data 0.329 (0.100)	Loss 0.4522 (1.8155)	MAE 0.602 (1.033)
Epoch: [1][79/1019]	Time 0.190 (0.279)	Data 0.000 (0.099)	Loss 0.5740 (1.7998)	MAE 0.749 (1.029)
Epoch: [1][80/1019]	Time 0.230 (0.278)	Data 0.000 (0.098)	Loss 0.5227 (1.7838)	MAE 0.702 (1.025)
Epoch: [1][81/1019]	Time 0.194 (0.277)	Data 0.015 (0.097)	Loss 0.7169 (1.7706)	MAE 0.773 (1.022)
Epoch: [1][82/1019]	Time 0.159 (0.276)	Data 0.015 (0.096)	Loss 0.5160 (1.7553)	MAE 0.676 (1.018)
Epoch: [1][83/1019]	Time 0.161 (0.274)	Data 0.000 (0.095)	Loss 0.6203 (1.7417)	MAE 0.780 (1.015)
Epoch: [1][84/1019]	Time 0.175 (0.273)	Data 0.001 (0.093)	Loss 0.8665 (1.7313)	MAE 0.903 (1.013)
