Epoch: [1][1/179]	Time 4.232 (4.232)	Data 2.272 (2.272)	Loss 1.6850 (1.6850)	MAE 1.240 (1.240)
Epoch: [1][2/179]	Time 0.236 (2.234)	Data 0.011 (1.141)	Loss 6.7372 (4.2111)	MAE 2.399 (1.820)
Epoch: [1][3/179]	Time 0.241 (1.569)	Data 0.000 (0.761)	Loss 28.0586 (12.1603)	MAE 5.845 (3.161)
Epoch: [1][4/179]	Time 0.166 (1.219)	Data 0.009 (0.573)	Loss 6.4749 (10.7389)	MAE 2.700 (3.046)
Epoch: [1][5/179]	Time 0.944 (1.164)	Data 0.759 (0.610)	Loss 4.1186 (9.4149)	MAE 1.949 (2.827)
Epoch: [1][6/179]	Time 0.159 (0.996)	Data 0.010 (0.510)	Loss 1.5128 (8.0979)	MAE 1.089 (2.537)
Epoch: [1][7/179]	Time 0.153 (0.876)	Data 0.000 (0.437)	Loss 1.3319 (7.1313)	MAE 1.180 (2.343)
Epoch: [1][8/179]	Time 0.194 (0.790)	Data 0.009 (0.384)	Loss 0.7533 (6.3340)	MAE 0.790 (2.149)
Epoch: [1][9/179]	Time 1.443 (0.863)	Data 1.250 (0.480)	Loss 0.8772 (5.7277)	MAE 0.891 (2.009)
Epoch: [1][10/179]	Time 0.221 (0.799)	Data 0.000 (0.432)	Loss 1.4894 (5.3039)	MAE 1.210 (1.929)
Epoch: [1][11/179]	Time 0.163 (0.741)	Data 0.000 (0.393)	Loss 1.3585 (4.9452)	MAE 1.196 (1.863)
Epoch: [1][12/179]	Time 0.150 (0.692)	Data 0.000 (0.360)	Loss 1.2869 (4.6404)	MAE 1.076 (1.797)
Epoch: [1][13/179]	Time 1.543 (0.757)	Data 1.314 (0.433)	Loss 0.5758 (4.3277)	MAE 0.734 (1.715)
Epoch: [1][14/179]	Time 0.187 (0.716)	Data 0.001 (0.403)	Loss 1.1298 (4.0993)	MAE 0.982 (1.663)
Epoch: [1][15/179]	Time 0.185 (0.681)	Data 0.000 (0.376)	Loss 1.5106 (3.9267)	MAE 1.185 (1.631)
Epoch: [1][16/179]	Time 0.178 (0.649)	Data 0.000 (0.352)	Loss 1.1012 (3.7501)	MAE 1.070 (1.596)
Epoch: [1][17/179]	Time 1.337 (0.690)	Data 1.109 (0.397)	Loss 0.9264 (3.5840)	MAE 0.878 (1.554)
Epoch: [1][18/179]	Time 0.149 (0.660)	Data 0.001 (0.375)	Loss 1.0731 (3.4445)	MAE 0.917 (1.518)
Epoch: [1][19/179]	Time 0.191 (0.635)	Data 0.000 (0.355)	Loss 0.9952 (3.3156)	MAE 1.000 (1.491)
Epoch: [1][20/179]	Time 0.219 (0.614)	Data 0.001 (0.337)	Loss 0.7245 (3.1860)	MAE 0.768 (1.455)
Epoch: [1][21/179]	Time 1.250 (0.645)	Data 0.995 (0.369)	Loss 0.6937 (3.0674)	MAE 0.680 (1.418)
Epoch: [1][22/179]	Time 0.175 (0.623)	Data 0.000 (0.352)	Loss 1.0750 (2.9768)	MAE 1.023 (1.400)
Epoch: [1][23/179]	Time 0.192 (0.605)	Data 0.000 (0.337)	Loss 1.3786 (2.9073)	MAE 1.223 (1.392)
Epoch: [1][24/179]	Time 0.165 (0.586)	Data 0.008 (0.323)	Loss 0.7058 (2.8156)	MAE 0.830 (1.369)
Epoch: [1][25/179]	Time 1.372 (0.618)	Data 1.130 (0.355)	Loss 0.6927 (2.7307)	MAE 0.741 (1.344)
Epoch: [1][26/179]	Time 0.179 (0.601)	Data 0.010 (0.342)	Loss 0.8219 (2.6573)	MAE 0.827 (1.324)
Epoch: [1][27/179]	Time 0.186 (0.585)	Data 0.000 (0.329)	Loss 1.0407 (2.5974)	MAE 0.945 (1.310)
Epoch: [1][28/179]	Time 0.226 (0.573)	Data 0.009 (0.318)	Loss 0.6253 (2.5270)	MAE 0.733 (1.289)
Epoch: [1][29/179]	Time 1.501 (0.605)	Data 1.243 (0.350)	Loss 1.7058 (2.4986)	MAE 1.066 (1.282)
Epoch: [1][30/179]	Time 0.152 (0.589)	Data 0.009 (0.338)	Loss 1.2994 (2.4587)	MAE 1.032 (1.273)
Epoch: [1][31/179]	Time 0.159 (0.576)	Data 0.000 (0.328)	Loss 1.0019 (2.4117)	MAE 1.085 (1.267)
Epoch: [1][32/179]	Time 0.176 (0.563)	Data 0.010 (0.318)	Loss 1.9707 (2.3979)	MAE 1.351 (1.270)
Epoch: [1][33/179]	Time 1.379 (0.588)	Data 1.157 (0.343)	Loss 1.3162 (2.3651)	MAE 1.066 (1.264)
Epoch: [1][34/179]	Time 0.225 (0.577)	Data 0.018 (0.333)	Loss 1.4071 (2.3369)	MAE 1.079 (1.258)
Epoch: [1][35/179]	Time 0.144 (0.565)	Data 0.000 (0.324)	Loss 0.5986 (2.2873)	MAE 0.748 (1.244)
Epoch: [1][36/179]	Time 0.189 (0.554)	Data 0.000 (0.315)	Loss 0.7343 (2.2441)	MAE 0.832 (1.232)
Epoch: [1][37/179]	Time 1.648 (0.584)	Data 1.339 (0.343)	Loss 1.2297 (2.2167)	MAE 1.121 (1.229)
Epoch: [1][38/179]	Time 0.170 (0.573)	Data 0.018 (0.334)	Loss 0.8440 (2.1806)	MAE 0.801 (1.218)
Epoch: [1][39/179]	Time 0.168 (0.563)	Data 0.000 (0.326)	Loss 1.6468 (2.1669)	MAE 1.186 (1.217)
Epoch: [1][40/179]	Time 0.157 (0.553)	Data 0.000 (0.317)	Loss 0.9957 (2.1376)	MAE 0.935 (1.210)
Epoch: [1][41/179]	Time 1.477 (0.575)	Data 1.228 (0.340)	Loss 1.7008 (2.1270)	MAE 1.138 (1.208)
Epoch: [1][42/179]	Time 0.237 (0.567)	Data 0.010 (0.332)	Loss 0.8097 (2.0956)	MAE 0.835 (1.199)
Epoch: [1][43/179]	Time 0.193 (0.558)	Data 0.000 (0.324)	Loss 0.6198 (2.0613)	MAE 0.763 (1.189)
Epoch: [1][44/179]	Time 0.138 (0.549)	Data 0.000 (0.317)	Loss 1.4212 (2.0467)	MAE 1.122 (1.188)
Epoch: [1][45/179]	Time 1.274 (0.565)	Data 1.014 (0.332)	Loss 0.7197 (2.0172)	MAE 0.781 (1.179)
Epoch: [1][46/179]	Time 0.186 (0.557)	Data 0.009 (0.325)	Loss 0.8127 (1.9911)	MAE 0.835 (1.171)
Epoch: [1][47/179]	Time 0.177 (0.549)	Data 0.000 (0.318)	Loss 0.8113 (1.9660)	MAE 0.770 (1.163)
Epoch: [1][48/179]	Time 0.126 (0.540)	Data 0.000 (0.312)	Loss 1.3646 (1.9534)	MAE 1.162 (1.163)
