0 0.571
1 0.485
2 0.422
3 0.403
4 0.390
5 0.382
6 0.414
7 0.362
8 0.361
9 0.363
10 0.384
11 0.352
12 0.443
13 0.379
14 0.345
15 0.328
16 0.322
17 0.337
18 0.328
19 0.309
20 0.317
21 0.344
22 0.297
23 0.350
24 0.324
25 0.311
26 0.302
27 0.299
28 0.326
29 0.346
30 0.288
31 0.280
32 0.305
33 0.292
34 0.291
35 0.293
36 0.288
37 0.292
38 0.324
39 0.285
40 0.303
41 0.282
42 0.290
43 0.295
44 0.296
45 0.285
46 0.289
47 0.314
48 0.289
49 0.303
50 0.281
51 0.314
52 0.276
53 0.323
54 0.274
55 0.271
56 0.274
57 0.273
58 0.294
59 0.282
60 0.272
61 0.286
62 0.276
63 0.265
64 0.269
65 0.266
66 0.282
67 0.286
68 0.278
