Epoch: [1][46/1019]	Time 0.467 (1.131)	Data 0.022 (0.630)	Loss 0.4559 (0.9829)	MAE 0.663 (0.903)
Epoch: [1][47/1019]	Time 0.491 (1.117)	Data 0.001 (0.616)	Loss 0.6310 (0.9754)	MAE 0.690 (0.899)
Epoch: [1][48/1019]	Time 0.417 (1.103)	Data 0.001 (0.604)	Loss 0.4749 (0.9650)	MAE 0.673 (0.894)
Epoch: [1][49/1019]	Time 3.747 (1.157)	Data 3.293 (0.659)	Loss 1.2269 (0.9703)	MAE 1.078 (0.898)
Epoch: [1][50/1019]	Time 0.507 (1.144)	Data 0.001 (0.645)	Loss 0.2377 (0.9557)	MAE 0.426 (0.888)
Epoch: [1][51/1019]	Time 0.432 (1.130)	Data 0.001 (0.633)	Loss 0.7376 (0.9514)	MAE 0.889 (0.888)
Epoch: [1][52/1019]	Time 0.598 (1.119)	Data 0.001 (0.621)	Loss 0.3395 (0.9396)	MAE 0.570 (0.882)
Epoch: [1][53/1019]	Time 3.777 (1.169)	Data 3.297 (0.671)	Loss 0.4206 (0.9298)	MAE 0.625 (0.877)
Epoch: [1][54/1019]	Time 0.536 (1.158)	Data 0.001 (0.659)	Loss 1.6247 (0.9427)	MAE 1.175 (0.883)
Epoch: [1][55/1019]	Time 0.488 (1.146)	Data 0.001 (0.647)	Loss 0.6914 (0.9381)	MAE 0.811 (0.882)
Epoch: [1][56/1019]	Time 0.623 (1.136)	Data 0.001 (0.635)	Loss 0.4843 (0.9300)	MAE 0.723 (0.879)
Epoch: [1][57/1019]	Time 3.668 (1.181)	Data 3.171 (0.680)	Loss 0.5667 (0.9236)	MAE 0.686 (0.875)
Epoch: [1][58/1019]	Time 0.554 (1.170)	Data 0.001 (0.668)	Loss 0.3047 (0.9130)	MAE 0.502 (0.869)
Epoch: [1][59/1019]	Time 0.514 (1.159)	Data 0.001 (0.657)	Loss 0.7431 (0.9101)	MAE 0.743 (0.867)
Epoch: [1][60/1019]	Time 0.529 (1.148)	Data 0.001 (0.646)	Loss 0.3184 (0.9002)	MAE 0.548 (0.861)
Epoch: [1][61/1019]	Time 4.228 (1.199)	Data 3.684 (0.696)	Loss 0.7309 (0.8974)	MAE 0.756 (0.860)
Epoch: [1][62/1019]	Time 0.616 (1.189)	Data 0.001 (0.684)	Loss 1.3675 (0.9050)	MAE 1.171 (0.865)
Epoch: [1][63/1019]	Time 0.486 (1.178)	Data 0.001 (0.673)	Loss 0.6824 (0.9015)	MAE 0.729 (0.863)
Epoch: [1][64/1019]	Time 0.438 (1.167)	Data 0.001 (0.663)	Loss 0.5088 (0.8954)	MAE 0.737 (0.861)
Epoch: [1][65/1019]	Time 4.260 (1.214)	Data 3.778 (0.711)	Loss 0.3354 (0.8867)	MAE 0.534 (0.856)
Epoch: [1][66/1019]	Time 0.573 (1.204)	Data 0.001 (0.700)	Loss 0.9751 (0.8881)	MAE 0.980 (0.857)
Epoch: [1][67/1019]	Time 0.468 (1.193)	Data 0.001 (0.690)	Loss 0.6129 (0.8840)	MAE 0.685 (0.855)
Epoch: [1][68/1019]	Time 0.469 (1.183)	Data 0.001 (0.680)	Loss 0.5356 (0.8789)	MAE 0.621 (0.851)
Epoch: [1][69/1019]	Time 4.457 (1.230)	Data 4.048 (0.728)	Loss 1.0185 (0.8809)	MAE 0.837 (0.851)
Epoch: [1][70/1019]	Time 0.371 (1.218)	Data 0.001 (0.718)	Loss 0.3267 (0.8730)	MAE 0.573 (0.847)
Epoch: [1][71/1019]	Time 0.502 (1.208)	Data 0.001 (0.708)	Loss 0.6276 (0.8695)	MAE 0.721 (0.845)
Epoch: [1][72/1019]	Time 0.389 (1.197)	Data 0.001 (0.698)	Loss 0.7208 (0.8674)	MAE 0.881 (0.846)
