Epoch: [1][1/179]	Time 5.690 (5.690)	Data 2.707 (2.707)	Loss 1.7225 (1.7225)	MAE 1.196 (1.196)
Epoch: [1][2/179]	Time 0.554 (3.122)	Data 0.024 (1.365)	Loss 5.8864 (3.8045)	MAE 2.480 (1.838)
Epoch: [1][3/179]	Time 0.453 (2.233)	Data 0.024 (0.918)	Loss 7.9244 (5.1778)	MAE 3.027 (2.234)
Epoch: [1][4/179]	Time 0.625 (1.831)	Data 0.023 (0.695)	Loss 1.5658 (4.2748)	MAE 1.230 (1.983)
Epoch: [1][5/179]	Time 0.539 (1.572)	Data 0.045 (0.565)	Loss 3.1394 (4.0477)	MAE 1.795 (1.946)
Epoch: [1][6/179]	Time 0.510 (1.395)	Data 0.001 (0.471)	Loss 2.2191 (3.7429)	MAE 1.426 (1.859)
Epoch: [1][7/179]	Time 0.542 (1.273)	Data 0.045 (0.410)	Loss 1.1656 (3.3747)	MAE 0.940 (1.728)
Epoch: [1][8/179]	Time 0.428 (1.168)	Data 0.001 (0.359)	Loss 1.3302 (3.1192)	MAE 1.152 (1.656)
Epoch: [1][9/179]	Time 0.548 (1.099)	Data 0.022 (0.321)	Loss 0.9803 (2.8815)	MAE 0.926 (1.575)
Epoch: [1][10/179]	Time 0.452 (1.034)	Data 0.024 (0.292)	Loss 1.3245 (2.7258)	MAE 1.093 (1.526)
Epoch: [1][11/179]	Time 0.506 (0.986)	Data 0.022 (0.267)	Loss 0.4541 (2.5193)	MAE 0.634 (1.445)
Epoch: [1][12/179]	Time 0.512 (0.947)	Data 0.024 (0.247)	Loss 0.8179 (2.3775)	MAE 0.849 (1.396)
Epoch: [1][13/179]	Time 0.612 (0.921)	Data 0.026 (0.230)	Loss 1.1123 (2.2802)	MAE 1.015 (1.366)
Epoch: [1][14/179]	Time 0.561 (0.895)	Data 0.023 (0.215)	Loss 0.6003 (2.1602)	MAE 0.777 (1.324)
Epoch: [1][15/179]	Time 0.597 (0.875)	Data 0.024 (0.202)	Loss 1.8206 (2.1376)	MAE 1.332 (1.325)
Epoch: [1][16/179]	Time 0.397 (0.845)	Data 0.023 (0.191)	Loss 1.2693 (2.0833)	MAE 1.077 (1.309)
Epoch: [1][17/179]	Time 0.547 (0.828)	Data 0.045 (0.182)	Loss 0.6741 (2.0004)	MAE 0.830 (1.281)
Epoch: [1][18/179]	Time 0.592 (0.815)	Data 0.001 (0.172)	Loss 1.2061 (1.9563)	MAE 1.123 (1.272)
Epoch: [1][19/179]	Time 0.495 (0.798)	Data 0.026 (0.165)	Loss 0.4966 (1.8795)	MAE 0.654 (1.240)
Epoch: [1][20/179]	Time 0.525 (0.784)	Data 0.023 (0.158)	Loss 1.0701 (1.8390)	MAE 1.003 (1.228)
Epoch: [1][21/179]	Time 0.385 (0.765)	Data 0.022 (0.151)	Loss 1.2403 (1.8105)	MAE 1.138 (1.224)
Epoch: [1][22/179]	Time 0.489 (0.753)	Data 0.023 (0.145)	Loss 1.1084 (1.7786)	MAE 1.073 (1.217)
Epoch: [1][23/179]	Time 0.459 (0.740)	Data 0.022 (0.140)	Loss 1.5644 (1.7693)	MAE 1.097 (1.212)
Epoch: [1][24/179]	Time 0.560 (0.732)	Data 0.024 (0.135)	Loss 1.1214 (1.7423)	MAE 1.125 (1.208)
Epoch: [1][25/179]	Time 0.710 (0.732)	Data 0.046 (0.132)	Loss 0.8343 (1.7059)	MAE 0.924 (1.197)
Epoch: [1][26/179]	Time 0.458 (0.721)	Data 0.001 (0.127)	Loss 0.7047 (1.6674)	MAE 0.793 (1.181)
Epoch: [1][27/179]	Time 0.504 (0.713)	Data 0.024 (0.123)	Loss 0.6820 (1.6309)	MAE 0.826 (1.168)
Epoch: [1][28/179]	Time 0.425 (0.703)	Data 0.022 (0.119)	Loss 0.6446 (1.5957)	MAE 0.766 (1.154)
Epoch: [1][29/179]	Time 0.795 (0.706)	Data 0.043 (0.117)	Loss 0.6349 (1.5626)	MAE 0.824 (1.142)
Epoch: [1][30/179]	Time 0.392 (0.695)	Data 0.001 (0.113)	Loss 0.8141 (1.5376)	MAE 0.850 (1.132)
Epoch: [1][31/179]	Time 0.364 (0.685)	Data 0.022 (0.110)	Loss 0.4766 (1.5034)	MAE 0.655 (1.117)
Epoch: [1][32/179]	Time 0.492 (0.679)	Data 0.027 (0.107)	Loss 0.9652 (1.4866)	MAE 0.924 (1.111)
Epoch: [1][33/179]	Time 0.479 (0.673)	Data 0.043 (0.105)	Loss 1.3569 (1.4827)	MAE 1.098 (1.111)
Epoch: [1][34/179]	Time 0.489 (0.667)	Data 0.001 (0.102)	Loss 0.6077 (1.4569)	MAE 0.735 (1.100)
Epoch: [1][35/179]	Time 0.562 (0.664)	Data 0.024 (0.100)	Loss 1.0216 (1.4445)	MAE 0.990 (1.096)
Epoch: [1][36/179]	Time 0.473 (0.659)	Data 0.023 (0.098)	Loss 0.5853 (1.4206)	MAE 0.687 (1.085)
Epoch: [1][37/179]	Time 0.666 (0.659)	Data 0.024 (0.096)	Loss 0.7195 (1.4017)	MAE 0.817 (1.078)
Epoch: [1][38/179]	Time 0.508 (0.655)	Data 0.022 (0.094)	Loss 0.6200 (1.3811)	MAE 0.808 (1.071)
Epoch: [1][39/179]	Time 0.547 (0.652)	Data 0.022 (0.092)	Loss 0.4835 (1.3581)	MAE 0.607 (1.059)
Epoch: [1][40/179]	Time 0.547 (0.650)	Data 0.022 (0.090)	Loss 0.4287 (1.3349)	MAE 0.603 (1.047)
Epoch: [1][41/179]	Time 0.623 (0.649)	Data 0.022 (0.089)	Loss 0.8327 (1.3226)	MAE 0.845 (1.042)
Epoch: [1][42/179]	Time 0.587 (0.648)	Data 0.037 (0.087)	Loss 0.3304 (1.2990)	MAE 0.550 (1.031)
