Epoch: [1][47/179]	Time 0.167 (0.291)	Data 0.000 (0.136)	Loss 0.4003 (1.8684)	MAE 0.623 (1.162)
Epoch: [1][48/179]	Time 0.152 (0.288)	Data 0.006 (0.133)	Loss 0.9792 (1.8499)	MAE 0.923 (1.157)
Epoch: [1][49/179]	Time 0.226 (0.286)	Data 0.096 (0.133)	Loss 1.2022 (1.8367)	MAE 1.035 (1.154)
Epoch: [1][50/179]	Time 0.446 (0.290)	Data 0.299 (0.136)	Loss 0.9155 (1.8182)	MAE 0.939 (1.150)
Epoch: [1][51/179]	Time 0.156 (0.287)	Data 0.000 (0.133)	Loss 0.6860 (1.7960)	MAE 0.765 (1.142)
Epoch: [1][52/179]	Time 0.427 (0.290)	Data 0.209 (0.135)	Loss 0.5410 (1.7719)	MAE 0.748 (1.135)
Epoch: [1][53/179]	Time 0.236 (0.289)	Data 0.122 (0.135)	Loss 1.2130 (1.7614)	MAE 1.000 (1.132)
Epoch: [1][54/179]	Time 0.700 (0.296)	Data 0.554 (0.142)	Loss 0.3826 (1.7358)	MAE 0.600 (1.122)
Epoch: [1][55/179]	Time 0.159 (0.294)	Data 0.000 (0.140)	Loss 0.7158 (1.7173)	MAE 0.742 (1.116)
Epoch: [1][56/179]	Time 0.129 (0.291)	Data 0.009 (0.137)	Loss 0.9041 (1.7028)	MAE 0.835 (1.111)
Epoch: [1][57/179]	Time 0.335 (0.292)	Data 0.195 (0.138)	Loss 0.6580 (1.6844)	MAE 0.745 (1.104)
Epoch: [1][58/179]	Time 0.190 (0.290)	Data 0.057 (0.137)	Loss 0.8063 (1.6693)	MAE 0.930 (1.101)
Epoch: [1][59/179]	Time 0.156 (0.288)	Data 0.000 (0.135)	Loss 0.8283 (1.6550)	MAE 0.875 (1.097)
Epoch: [1][60/179]	Time 0.524 (0.292)	Data 0.368 (0.139)	Loss 0.4575 (1.6351)	MAE 0.608 (1.089)
Epoch: [1][61/179]	Time 0.140 (0.289)	Data 0.012 (0.136)	Loss 0.5300 (1.6170)	MAE 0.720 (1.083)
Epoch: [1][62/179]	Time 0.242 (0.288)	Data 0.110 (0.136)	Loss 0.5771 (1.6002)	MAE 0.734 (1.077)
Epoch: [1][63/179]	Time 0.125 (0.286)	Data 0.000 (0.134)	Loss 0.5218 (1.5831)	MAE 0.666 (1.071)
Epoch: [1][64/179]	Time 0.544 (0.290)	Data 0.402 (0.138)	Loss 1.2980 (1.5786)	MAE 1.127 (1.072)
Epoch: [1][65/179]	Time 0.148 (0.288)	Data 0.006 (0.136)	Loss 0.6274 (1.5640)	MAE 0.739 (1.067)
Epoch: [1][66/179]	Time 0.322 (0.288)	Data 0.175 (0.137)	Loss 0.5797 (1.5491)	MAE 0.694 (1.061)
Epoch: [1][67/179]	Time 0.145 (0.286)	Data 0.000 (0.135)	Loss 0.3734 (1.5315)	MAE 0.592 (1.054)
Epoch: [1][68/179]	Time 0.529 (0.290)	Data 0.365 (0.138)	Loss 0.8760 (1.5219)	MAE 0.869 (1.051)
Epoch: [1][69/179]	Time 0.145 (0.287)	Data 0.007 (0.136)	Loss 0.7240 (1.5103)	MAE 0.812 (1.048)
Epoch: [1][70/179]	Time 0.343 (0.288)	Data 0.188 (0.137)	Loss 0.4486 (1.4952)	MAE 0.661 (1.042)
Epoch: [1][71/179]	Time 0.105 (0.286)	Data 0.000 (0.135)	Loss 0.4799 (1.4809)	MAE 0.638 (1.037)
Epoch: [1][72/179]	Time 0.503 (0.289)	Data 0.365 (0.138)	Loss 0.4801 (1.4670)	MAE 0.659 (1.031)
Epoch: [1][73/179]	Time 0.160 (0.287)	Data 0.006 (0.136)	Loss 0.6341 (1.4555)	MAE 0.760 (1.028)
Epoch: [1][74/179]	Time 0.768 (0.293)	Data 0.618 (0.143)	Loss 0.6062 (1.4441)	MAE 0.807 (1.025)
Epoch: [1][75/179]	Time 0.177 (0.292)	Data 0.000 (0.141)	Loss 0.7171 (1.4344)	MAE 0.810 (1.022)
Epoch: [1][76/179]	Time 0.450 (0.294)	Data 0.318 (0.143)	Loss 0.7159 (1.4249)	MAE 0.765 (1.018)
Epoch: [1][77/179]	Time 0.195 (0.293)	Data 0.011 (0.142)	Loss 0.3876 (1.4115)	MAE 0.615 (1.013)
Epoch: [1][78/179]	Time 0.570 (0.296)	Data 0.448 (0.145)	Loss 0.3494 (1.3978)	MAE 0.531 (1.007)
Epoch: [1][79/179]	Time 0.123 (0.294)	Data 0.000 (0.144)	Loss 0.5487 (1.3871)	MAE 0.671 (1.003)
Epoch: [1][80/179]	Time 0.525 (0.297)	Data 0.380 (0.147)	Loss 0.5842 (1.3771)	MAE 0.746 (1.000)
Epoch: [1][81/179]	Time 2.274 (0.321)	Data 2.131 (0.171)	Loss 0.6385 (1.3679)	MAE 0.807 (0.997)
Epoch: [1][82/179]	Time 0.737 (0.326)	Data 0.548 (0.176)	Loss 0.7528 (1.3604)	MAE 0.758 (0.994)
Epoch: [1][83/179]	Time 0.133 (0.324)	Data 0.000 (0.174)	Loss 0.5317 (1.3504)	MAE 0.673 (0.990)
Epoch: [1][84/179]	Time 0.683 (0.328)	Data 0.576 (0.178)	Loss 1.3525 (1.3505)	MAE 1.240 (0.993)
Epoch: [1][85/179]	Time 0.140 (0.326)	Data 0.000 (0.176)	Loss 0.8639 (1.3447)	MAE 0.878 (0.992)
Epoch: [1][86/179]	Time 0.677 (0.330)	Data 0.530 (0.180)	Loss 0.9447 (1.3401)	MAE 0.908 (0.991)
Epoch: [1][87/179]	Time 0.165 (0.328)	Data 0.000 (0.178)	Loss 0.6947 (1.3327)	MAE 0.818 (0.989)
Epoch: [1][88/179]	Time 0.411 (0.329)	Data 0.283 (0.179)	Loss 0.6317 (1.3247)	MAE 0.811 (0.987)
Epoch: [1][89/179]	Time 0.140 (0.327)	Data 0.007 (0.178)	Loss 0.8672 (1.3196)	MAE 0.927 (0.986)
Epoch: [1][90/179]	Time 0.948 (0.334)	Data 0.787 (0.184)	Loss 0.5221 (1.3107)	MAE 0.638 (0.982)
Epoch: [1][91/179]	Time 0.155 (0.332)	Data 0.000 (0.182)	Loss 0.3784 (1.3005)	MAE 0.531 (0.978)
Epoch: [1][92/179]	Time 0.568 (0.335)	Data 0.383 (0.184)	Loss 0.4056 (1.2907)	MAE 0.587 (0.973)
Epoch: [1][93/179]	Time 0.179 (0.333)	Data 0.006 (0.183)	Loss 1.4052 (1.2920)	MAE 1.153 (0.975)
Epoch: [1][94/179]	Time 1.014 (0.340)	Data 0.833 (0.189)	Loss 1.2801 (1.2918)	MAE 1.035 (0.976)
Epoch: [1][95/179]	Time 0.116 (0.338)	Data 0.000 (0.187)	Loss 1.1454 (1.2903)	MAE 1.149 (0.978)
Epoch: [1][96/179]	Time 0.462 (0.339)	Data 0.310 (0.189)	Loss 0.3715 (1.2807)	MAE 0.566 (0.973)
Epoch: [1][97/179]	Time 0.143 (0.337)	Data 0.006 (0.187)	Loss 0.7295 (1.2750)	MAE 0.842 (0.972)
Epoch: [1][98/179]	Time 1.203 (0.346)	Data 1.004 (0.195)	Loss 1.4935 (1.2773)	MAE 1.176 (0.974)
Epoch: [1][99/179]	Time 0.173 (0.344)	Data 0.000 (0.193)	Loss 0.6933 (1.2714)	MAE 0.822 (0.973)
Epoch: [1][100/179]	Time 1.134 (0.352)	Data 0.937 (0.201)	Loss 1.6461 (1.2751)	MAE 1.229 (0.975)
Epoch: [1][101/179]	Time 0.191 (0.350)	Data 0.006 (0.199)	Loss 0.9656 (1.2721)	MAE 1.029 (0.976)
Epoch: [1][102/179]	Time 1.167 (0.358)	Data 1.038 (0.207)	Loss 0.6076 (1.2655)	MAE 0.731 (0.973)
Epoch: [1][103/179]	Time 0.129 (0.356)	Data 0.000 (0.205)	Loss 1.4870 (1.2677)	MAE 1.182 (0.975)
Epoch: [1][104/179]	Time 0.218 (0.355)	Data 0.054 (0.204)	Loss 0.4623 (1.2600)	MAE 0.676 (0.972)
Epoch: [1][105/179]	Time 0.179 (0.353)	Data 0.006 (0.202)	Loss 0.3521 (1.2513)	MAE 0.529 (0.968)
Epoch: [1][106/179]	Time 0.710 (0.357)	Data 0.569 (0.205)	Loss 1.3472 (1.2522)	MAE 1.140 (0.970)
Epoch: [1][107/179]	Time 0.139 (0.355)	Data 0.000 (0.203)	Loss 0.5661 (1.2458)	MAE 0.726 (0.968)
Epoch: [1][108/179]	Time 0.371 (0.355)	Data 0.234 (0.203)	Loss 0.7345 (1.2411)	MAE 0.806 (0.966)
Epoch: [1][109/179]	Time 0.226 (0.354)	Data 0.095 (0.202)	Loss 0.4052 (1.2334)	MAE 0.606 (0.963)
Epoch: [1][110/179]	Time 1.040 (0.360)	Data 0.905 (0.209)	Loss 0.7598 (1.2291)	MAE 0.858 (0.962)
Epoch: [1][111/179]	Time 0.122 (0.358)	Data 0.000 (0.207)	Loss 0.4567 (1.2221)	MAE 0.679 (0.959)
Epoch: [1][112/179]	Time 0.257 (0.357)	Data 0.152 (0.206)	Loss 0.4876 (1.2156)	MAE 0.660 (0.957)
Epoch: [1][113/179]	Time 0.195 (0.355)	Data 0.046 (0.205)	Loss 1.2706 (1.2161)	MAE 1.110 (0.958)
Epoch: [1][114/179]	Time 0.894 (0.360)	Data 0.767 (0.210)	Loss 0.6785 (1.2113)	MAE 0.796 (0.956)
Epoch: [1][115/179]	Time 0.125 (0.358)	Data 0.000 (0.208)	Loss 0.6547 (1.2065)	MAE 0.789 (0.955)
Epoch: [1][116/179]	Time 0.283 (0.357)	Data 0.147 (0.208)	Loss 0.4302 (1.1998)	MAE 0.631 (0.952)
Epoch: [1][117/179]	Time 0.109 (0.355)	Data 0.006 (0.206)	Loss 0.4075 (1.1930)	MAE 0.640 (0.950)
Epoch: [1][118/179]	Time 1.843 (0.368)	Data 1.618 (0.218)	Loss 0.6222 (1.1882)	MAE 0.826 (0.949)
Epoch: [1][119/179]	Time 0.163 (0.366)	Data 0.000 (0.216)	Loss 0.4642 (1.1821)	MAE 0.630 (0.946)
Epoch: [1][120/179]	Time 0.129 (0.364)	Data 0.006 (0.214)	Loss 0.4193 (1.1758)	MAE 0.654 (0.943)
Epoch: [1][121/179]	Time 0.178 (0.363)	Data 0.006 (0.213)	Loss 0.6373 (1.1713)	MAE 0.770 (0.942)
Epoch: [1][122/179]	Time 1.329 (0.371)	Data 1.181 (0.221)	Loss 0.3494 (1.1646)	MAE 0.557 (0.939)
Epoch: [1][123/179]	Time 0.183 (0.369)	Data 0.000 (0.219)	Loss 0.2816 (1.1574)	MAE 0.483 (0.935)
Epoch: [1][124/179]	Time 0.147 (0.367)	Data 0.006 (0.217)	Loss 0.6184 (1.1530)	MAE 0.868 (0.935)
Epoch: [1][125/179]	Time 0.143 (0.365)	Data 0.007 (0.215)	Loss 0.8268 (1.1504)	MAE 0.934 (0.935)
Epoch: [1][126/179]	Time 1.037 (0.371)	Data 0.906 (0.221)	Loss 0.8343 (1.1479)	MAE 0.735 (0.933)
Epoch: [1][127/179]	Time 0.131 (0.369)	Data 0.000 (0.219)	Loss 0.4261 (1.1422)	MAE 0.628 (0.931)
Epoch: [1][128/179]	Time 0.155 (0.367)	Data 0.007 (0.217)	Loss 1.0048 (1.1412)	MAE 0.835 (0.930)
Epoch: [1][129/179]	Time 0.253 (0.366)	Data 0.108 (0.217)	Loss 0.4386 (1.1357)	MAE 0.648 (0.928)
Epoch: [1][130/179]	Time 1.162 (0.372)	Data 0.976 (0.222)	Loss 0.5949 (1.1316)	MAE 0.696 (0.926)
Epoch: [1][131/179]	Time 0.121 (0.370)	Data 0.000 (0.221)	Loss 0.6745 (1.1281)	MAE 0.845 (0.925)
Epoch: [1][132/179]	Time 0.180 (0.369)	Data 0.006 (0.219)	Loss 0.8181 (1.1257)	MAE 0.865 (0.925)
Epoch: [1][133/179]	Time 0.137 (0.367)	Data 0.006 (0.217)	Loss 0.4806 (1.1209)	MAE 0.641 (0.923)
Epoch: [1][134/179]	Time 0.825 (0.371)	Data 0.684 (0.221)	Loss 0.8505 (1.1189)	MAE 0.863 (0.922)
Epoch: [1][135/179]	Time 0.134 (0.369)	Data 0.000 (0.219)	Loss 0.4504 (1.1139)	MAE 0.649 (0.920)
Epoch: [1][136/179]	Time 0.307 (0.368)	Data 0.166 (0.219)	Loss 0.5589 (1.1098)	MAE 0.709 (0.919)
Epoch: [1][137/179]	Time 0.151 (0.367)	Data 0.019 (0.217)	Loss 0.8568 (1.1080)	MAE 0.916 (0.919)
Epoch: [1][138/179]	Time 0.855 (0.370)	Data 0.698 (0.221)	Loss 0.8124 (1.1058)	MAE 0.878 (0.918)
Epoch: [1][139/179]	Time 0.154 (0.369)	Data 0.000 (0.219)	Loss 0.8463 (1.1040)	MAE 0.817 (0.918)
Epoch: [1][140/179]	Time 0.479 (0.370)	Data 0.320 (0.220)	Loss 0.6570 (1.1008)	MAE 0.771 (0.917)
Epoch: [1][141/179]	Time 0.193 (0.368)	Data 0.006 (0.219)	Loss 0.3752 (1.0956)	MAE 0.560 (0.914)
Epoch: [1][142/179]	Time 0.945 (0.372)	Data 0.789 (0.223)	Loss 0.6928 (1.0928)	MAE 0.787 (0.913)
Epoch: [1][143/179]	Time 0.144 (0.371)	Data 0.000 (0.221)	Loss 0.4930 (1.0886)	MAE 0.606 (0.911)
Epoch: [1][144/179]	Time 0.333 (0.371)	Data 0.159 (0.221)	Loss 0.7311 (1.0861)	MAE 0.783 (0.910)
Epoch: [1][145/179]	Time 0.267 (0.370)	Data 0.153 (0.220)	Loss 0.6769 (1.0833)	MAE 0.712 (0.909)
Epoch: [1][146/179]	Time 1.430 (0.377)	Data 1.313 (0.228)	Loss 0.5267 (1.0795)	MAE 0.653 (0.907)
Epoch: [1][147/179]	Time 0.135 (0.376)	Data 0.000 (0.226)	Loss 0.7339 (1.0771)	MAE 0.913 (0.907)
Epoch: [1][148/179]	Time 0.436 (0.376)	Data 0.243 (0.226)	Loss 0.6290 (1.0741)	MAE 0.662 (0.905)
Epoch: [1][149/179]	Time 0.217 (0.375)	Data 0.033 (0.225)	Loss 1.2361 (1.0752)	MAE 0.960 (0.906)
Epoch: [1][150/179]	Time 0.797 (0.378)	Data 0.688 (0.228)	Loss 0.8006 (1.0734)	MAE 0.843 (0.905)
Epoch: [1][151/179]	Time 0.130 (0.376)	Data 0.000 (0.226)	Loss 0.7657 (1.0713)	MAE 0.879 (0.905)
Epoch: [1][152/179]	Time 0.315 (0.376)	Data 0.173 (0.226)	Loss 1.4275 (1.0737)	MAE 1.129 (0.907)
Epoch: [1][153/179]	Time 0.190 (0.374)	Data 0.018 (0.225)	Loss 0.5360 (1.0702)	MAE 0.745 (0.906)
Epoch: [1][154/179]	Time 0.690 (0.376)	Data 0.537 (0.227)	Loss 0.8416 (1.0687)	MAE 0.914 (0.906)
Epoch: [1][155/179]	Time 0.117 (0.375)	Data 0.000 (0.225)	Loss 0.5768 (1.0655)	MAE 0.697 (0.904)
Epoch: [1][156/179]	Time 0.264 (0.374)	Data 0.116 (0.225)	Loss 0.3213 (1.0607)	MAE 0.573 (0.902)
Epoch: [1][157/179]	Time 0.161 (0.373)	Data 0.006 (0.223)	Loss 0.6241 (1.0579)	MAE 0.795 (0.901)
Epoch: [1][158/179]	Time 0.965 (0.376)	Data 0.817 (0.227)	Loss 0.5484 (1.0547)	MAE 0.736 (0.900)
Epoch: [1][159/179]	Time 0.204 (0.375)	Data 0.038 (0.226)	Loss 0.6032 (1.0519)	MAE 0.671 (0.899)
Epoch: [1][160/179]	Time 0.318 (0.375)	Data 0.123 (0.225)	Loss 0.2851 (1.0471)	MAE 0.512 (0.897)
Epoch: [1][161/179]	Time 0.156 (0.374)	Data 0.000 (0.224)	Loss 0.5326 (1.0439)	MAE 0.693 (0.895)
Epoch: [1][162/179]	Time 0.700 (0.376)	Data 0.556 (0.226)	Loss 0.2936 (1.0393)	MAE 0.555 (0.893)
Epoch: [1][163/179]	Time 0.300 (0.375)	Data 0.155 (0.225)	Loss 0.3049 (1.0348)	MAE 0.553 (0.891)
Epoch: [1][164/179]	Time 0.329 (0.375)	Data 0.208 (0.225)	Loss 0.4252 (1.0310)	MAE 0.646 (0.890)
Epoch: [1][165/179]	Time 0.129 (0.373)	Data 0.000 (0.224)	Loss 0.5038 (1.0278)	MAE 0.632 (0.888)
Epoch: [1][166/179]	Time 0.760 (0.376)	Data 0.569 (0.226)	Loss 0.3427 (1.0237)	MAE 0.571 (0.886)
